playlist_index,video_id,title,duration_string,url,has_transcript,subtitle_language,topic_tags
1,0QwAFTNHqOQ,想賺錢，別浪費美股關鍵18小時！幣安美股新手指南！【邦妮區塊鏈】,26:06,https://www.youtube.com/watch?v=0QwAFTNHqOQ,yes,zh,stablecoin|institutional|tokenization|security|macro|trading
2,SCZTkTa_Ft4,SpaceX Stock Knows No Bounds! Elon Musk Becomes a Trillionaire and Shames Wall Street! The Market...,23:04,https://www.youtube.com/watch?v=SCZTkTa_Ft4,yes,zh,institutional|macro|trading
3,1jelw5oLxdc,The Market Keeps Climbing. Here’s the Problem. | Ran Neuner | Bonnie Blockchain,44:16,https://www.youtube.com/watch?v=1jelw5oLxdc,yes,en-orig,bitcoin|macro|trading
4,m-uk9rLzYgQ,SpaceX IPO 兩兆估值，但是馬斯克「招股說明書」好奇怪......【邦妮區塊鏈】,33:24,https://www.youtube.com/watch?v=m-uk9rLzYgQ,yes,zh,macro|trading
5,idNlGbvXW40,Tim Draper: I Was SpaceX’s First Investor – Inside the Massive IPO ｜ Bonnie Blockchain,36:35,https://www.youtube.com/watch?v=idNlGbvXW40,yes,en-orig,bitcoin|security
6,K2m1YUKBbSE,台股跌停板無情血洗！魏哲家：繼續買台積電就對了？台股市值超越南韓、印度的致勝關鍵！【邦妮區塊鏈】,18:55,https://www.youtube.com/watch?v=K2m1YUKBbSE,yes,zh,stablecoin|institutional|macro|trading
7,TBMxVjopKfo,How to Invest? How to Go Long or Short? The Most Complete Beginner's Masterclass Online! Trade US...,1:04:07,https://www.youtube.com/watch?v=TBMxVjopKfo,yes,zh,bitcoin|institutional|tokenization|trading
8,mE07RL4mJpI,Jensen Huang’s 3 Wishes for Young People! Life Lessons from the Godfather of AI  | Bonnie Blockchain,8:49,https://www.youtube.com/watch?v=mE07RL4mJpI,yes,en-orig,macro
9,MJV2woszngg,"Jensen Huang: Run, Don’t Walk Into the AI Revolution",13:57,https://www.youtube.com/watch?v=MJV2woszngg,yes,en-orig,general
10,29K9KnlR9es,NVIDIA GTC Taipei 2026: 7 Things That Actually Matter | Jensen Huang Explained,46:45,https://www.youtube.com/watch?v=29K9KnlR9es,yes,en-orig,tokenization|security|macro|trading
11,iPHNcSYF18A,The Hidden Bottlenecks in the Global AI Supply Chain | John Wu | Bonnie Blockchain,27:36,https://www.youtube.com/watch?v=iPHNcSYF18A,yes,en-orig,macro|trading
12,3xqojDP346c,"A Masterclass on Bitcoin ETFs, Market Structure & Capital Flows ｜Krista Lynch｜bonnieblockchain",44:28,https://www.youtube.com/watch?v=3xqojDP346c,yes,en-orig,bitcoin|institutional|tokenization|security|macro|trading
13,ugm6Xu-vwfA,川習會世紀談判五大關鍵！習近平「修昔底德陷阱」沒說的事？【邦妮區塊鏈】,21:15,https://www.youtube.com/watch?v=ugm6Xu-vwfA,yes,zh,stablecoin|institutional|security|macro|trading
14,Bc7V6Egkad4,市場要崩了？川普想降息，但新聯準會主席可能不敢！【邦妮區塊鏈】,13:19,https://www.youtube.com/watch?v=Bc7V6Egkad4,yes,zh,macro|trading
15,2wvhOJVV_0s,Bitcoin Has No Top Because The Dollar Has No Bottom｜Anthony Pompliano｜Bonnie Blockchain,7:57,https://www.youtube.com/watch?v=2wvhOJVV_0s,yes,en-orig,bitcoin|tokenization|security|macro|trading
