episode,episode_date,symbol,market_date,close,ret_1d_pct,ret_5d_pct,ret_20d_pct,ret_60d_pct
1,2020-02-27,^TWII,2020-02-27,11292.1699,-1.24,-3.69,-1.13,-2.33
1,2020-02-27,^GSPC,2020-02-27,2978.76,-4.42,-11.69,-9.0,-5.16
1,2020-02-27,^IXIC,2020-02-27,8566.4805,-4.61,-12.15,-7.64,-1.14
1,2020-02-27,^VIX,2020-02-27,39.16,42.09,151.67,138.93,210.3
1,2020-02-27,^TNX,2020-02-27,1.299,-0.84,-14.82,-18.51,-26.86
1,2020-02-27,TWD=X,2020-02-27,30.208,-0.67,0.12,0.39,-0.85
1,2020-02-27,2330.TW,2020-02-27,279.0624,-0.78,-2.92,-0.16,3.68
1,2020-02-27,QQQ,2020-02-27,198.1792,-5.01,-12.41,-7.29,0.48
1,2020-02-27,SOXX,2020-02-27,71.6149,-4.62,-14.4,-10.06,-2.56
1,2020-02-27,TSM,2020-02-27,47.5994,-3.16,-5.65,-6.82,1.08
1,2020-02-27,NVDA,2020-02-27,6.2903,-5.57,-18.12,2.94,16.61
1,2020-02-27,TSLA,2020-02-27,45.2667,-12.81,-24.51,16.87,105.79
1,2020-02-27,BTC-USD,2020-02-27,8784.4941,-0.41,-9.09,-10.33,18.35
2,2020-02-29,^TWII,2020-02-27,11292.1699,-1.24,-3.69,-1.13,-2.33
2,2020-02-29,^GSPC,2020-02-28,2954.22,-0.82,-11.49,-10.03,-5.13
2,2020-02-29,^IXIC,2020-02-28,8567.3701,0.01,-10.54,-7.87,-0.01
2,2020-02-29,^VIX,2020-02-28,40.11,2.43,134.84,158.94,169.01
2,2020-02-29,^TNX,2020-02-28,1.127,-13.24,-23.39,-27.66,-38.62
2,2020-02-29,TWD=X,2020-02-28,30.193,-0.05,-0.11,-0.04,-0.73
2,2020-02-29,2330.TW,2020-02-27,279.0624,-0.78,-2.92,-0.16,3.68
2,2020-02-29,QQQ,2020-02-28,198.3334,0.08,-10.63,-7.55,1.6
2,2020-02-29,SOXX,2020-02-28,73.2294,2.25,-9.78,-8.04,1.19
2,2020-02-29,TSM,2020-02-28,48.0907,1.03,-3.15,-3.51,2.33
2,2020-02-29,NVDA,2020-02-28,6.7254,6.92,-8.11,9.94,29.14
2,2020-02-29,TSLA,2020-02-28,44.5327,-1.62,-25.86,4.24,99.48
2,2020-02-29,BTC-USD,2020-02-29,8599.5088,-0.84,-10.89,-15.0,19.54
3,2020-03-02,^TWII,2020-03-02,11170.46,-1.08,-4.41,-2.82,-3.51
3,2020-03-02,^GSPC,2020-03-02,3090.23,4.6,-4.21,-4.19,-0.1
3,2020-03-02,^IXIC,2020-03-02,8952.1699,4.49,-2.92,-2.17,5.06
3,2020-03-02,^VIX,2020-03-02,33.42,-16.68,33.52,77.39,109.4
3,2020-03-02,^TNX,2020-03-02,1.088,-3.46,-20.99,-28.42,-36.34
3,2020-03-02,TWD=X,2020-03-02,30.124,-0.23,-0.87,-0.73,-0.98
3,2020-03-02,2330.TW,2020-03-02,274.6469,-1.58,-4.31,-2.81,2.04
3,2020-03-02,QQQ,2020-03-02,208.5681,5.16,-2.24,-1.21,7.69
3,2020-03-02,SOXX,2020-03-02,75.8231,3.54,-1.89,-1.26,6.42
3,2020-03-02,TSM,2020-03-02,50.0021,3.97,3.44,3.78,6.8
3,2020-03-02,NVDA,2020-03-02,6.8838,2.35,1.21,16.99,33.2
3,2020-03-02,TSLA,2020-03-02,49.5747,11.32,-10.81,14.3,121.18
3,2020-03-02,BTC-USD,2020-03-02,8869.6699,3.59,0.56,-13.11,26.97
4,2020-03-03,^TWII,2020-03-03,11327.7197,1.41,-1.8,-0.24,-2.75
4,2020-03-03,^GSPC,2020-03-03,3003.3701,-2.81,-3.99,-7.56,-3.51
4,2020-03-03,^IXIC,2020-03-03,8684.0898,-2.99,-3.14,-6.35,1.37
4,2020-03-03,^VIX,2020-03-03,36.82,10.17,32.21,104.9,148.78
4,2020-03-03,^TNX,2020-03-03,1.01,-7.17,-24.06,-33.55,-43.29
4,2020-03-03,TWD=X,2020-03-03,29.805,-1.06,-1.77,-1.44,-1.95
4,2020-03-03,2330.TW,2020-03-03,280.3871,2.09,-0.78,0.79,2.84
4,2020-03-03,QQQ,2020-03-03,201.8799,-3.21,-2.73,-5.8,3.71
4,2020-03-03,SOXX,2020-03-03,73.1535,-3.52,-2.44,-5.79,1.07
4,2020-03-03,TSM,2020-03-03,49.0196,-1.96,1.89,0.2,3.92
4,2020-03-03,NVDA,2020-03-03,6.6213,-3.81,1.53,10.7,27.04
4,2020-03-03,TSLA,2020-03-03,49.7007,0.25,-6.8,-4.42,123.86
4,2020-03-03,BTC-USD,2020-03-03,8787.7861,-0.92,0.04,-14.9,19.64
5,2020-03-04,^TWII,2020-03-04,11392.3496,0.57,-1.28,-1.42,-1.93
5,2020-03-04,^GSPC,2020-03-04,3130.1201,4.22,0.44,-5.08,0.41
5,2020-03-04,^IXIC,2020-03-04,9018.0898,3.85,0.42,-4.75,5.22
5,2020-03-04,^VIX,2020-03-04,31.99,-13.12,16.07,99.31,120.32
5,2020-03-04,^TNX,2020-03-04,0.992,-1.78,-24.27,-38.12,-44.8
