theme_id,label,lookback_days,horizon_days,obs,first_date,last_date,leader_count,follower_count,pearson_ic,spearman_ic,base_avg_future_pct,top_quintile_avg_future_pct,top_minus_base_pct,avg_lag_gap_pct,event_count,event_avg_after_cost_pct,event_median_after_cost_pct,event_hit_rate,event_threshold_leader_pct,event_threshold_gap_pct,round_trip_cost_pct
optical_800g_cpo,光通訊/800G/CPO,40,40,4518,2008-03-06,2026-03-24,8,6,0.086136,0.050282,7.982121,11.720604,3.738483,-1.185662,1238,14.348270,2.868908,0.569467,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,10,40,4548,2008-01-15,2026-03-24,8,6,0.075684,0.071056,7.966128,13.430189,5.464061,-0.562637,490,13.247384,4.050776,0.600000,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,5,40,4553,2008-01-08,2026-03-24,8,6,0.051710,0.065274,7.959478,10.591928,2.632450,-0.288649,248,11.715187,4.422077,0.588710,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,10,20,4569,2008-01-15,2026-04-23,8,6,0.084509,0.106271,4.161420,9.112032,4.950612,-0.581176,493,10.092486,3.648639,0.677485,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,20,40,4537,2008-01-29,2026-03-24,8,6,0.073119,0.048292,7.956100,11.722692,3.766592,-0.774002,825,9.969076,1.952703,0.555152,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,10,10,4579,2008-01-15,2026-05-08,8,6,0.110491,0.149004,2.197502,7.607881,5.410379,-0.579079,496,8.652691,2.226760,0.653226,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,5,20,4574,2008-01-08,2026-04-23,8,6,0.066247,0.098138,4.161945,7.194898,3.032953,-0.305361,249,7.999155,3.011468,0.654618,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,40,20,4539,2008-03-06,2026-04-23,8,6,0.061167,0.037337,4.169512,5.977758,1.808246,-1.190121,1242,7.807463,1.683593,0.581320,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,5,10,4584,2008-01-08,2026-05-08,8,6,0.076229,0.129604,2.194641,5.338936,3.144295,-0.301910,251,7.492132,1.786545,0.621514,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,5,40,5135,2006-05-29,2026-03-26,4,10,0.096368,0.102071,4.618687,8.180285,3.561598,0.041732,233,7.147132,3.181981,0.643777,5.000000,5.000000,0.300000
healthcare_glp1_cdmo,醫藥/GLP-1/CDMO,5,40,5045,2006-05-29,2026-03-24,6,9,0.010184,0.020808,4.845863,6.016216,1.170353,-0.189510,45,7.125592,6.390606,0.666667,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,20,40,5119,2006-06-20,2026-03-26,4,10,0.129599,0.142468,4.624263,8.118108,3.493845,0.120287,756,6.313099,4.995539,0.653439,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,5,40,4982,2006-05-29,2026-03-24,4,9,0.072819,0.063555,3.913925,6.794362,2.880437,0.127367,228,6.216486,3.999257,0.640351,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,20,40,4967,2006-06-19,2026-03-24,4,9,0.164226,0.087342,3.924006,8.459215,4.535208,0.566065,796,6.158478,3.014974,0.635678,5.000000,5.000000,0.300000
banks_rates_insurance,金融/銀行/保險/利率,5,40,5006,2006-05-29,2026-03-24,8,6,0.016635,-0.009806,1.860170,2.357503,0.497334,0.021531,65,6.154975,4.568132,0.676923,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,5,40,4977,2006-05-29,2026-03-24,6,8,0.088497,0.078637,4.077960,5.962866,1.884906,0.282648,357,6.105278,5.475796,0.666667,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,10,40,4977,2006-06-05,2026-03-24,4,9,0.108495,0.072735,3.922934,7.503449,3.580515,0.250292,424,6.032996,3.216807,0.627358,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,40,40,5098,2006-07-19,2026-03-26,4,10,0.181167,0.166696,4.631772,8.830808,4.199036,0.187727,997,5.872561,3.814281,0.630893,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,40,40,4943,2006-07-18,2026-03-24,4,7,0.118558,0.130252,3.552930,6.610098,3.057169,-0.452304,965,5.658723,5.121338,0.684974,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,10,40,5128,2006-06-07,2026-03-26,4,10,0.122232,0.136084,4.629397,7.963860,3.334463,0.068668,479,5.556019,3.470585,0.647182,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,40,40,4942,2006-07-18,2026-03-24,6,8,0.129035,0.094388,4.051040,7.257003,3.205963,2.336522,1488,5.502037,4.781397,0.653226,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,20,20,4558,2008-01-29,2026-04-23,8,6,0.060151,0.051314,4.150413,7.198524,3.048111,-0.797914,828,5.421966,1.387833,0.574879,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,10,40,4972,2006-06-06,2026-03-24,6,8,0.119482,0.116062,4.082567,7.029630,2.947063,0.539636,704,5.252087,4.116990,0.637784,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,10,20,5149,2006-06-07,2026-04-24,4,10,0.165228,0.157172,2.318794,5.655178,3.336384,0.091821,490,5.232840,3.262882,0.657143,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,20,40,4962,2006-06-20,2026-03-24,6,8,0.144828,0.125445,4.074155,7.062954,2.988800,1.118301,1085,5.194791,4.119805,0.632258,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,5,40,4978,2006-05-29,2026-03-24,4,7,0.043342,0.063512,3.597219,4.681803,1.084584,-0.057415,182,5.122167,3.807262,0.670330,5.000000,5.000000,0.300000
