theme_id,label,lookback_days,horizon_days,obs,first_date,last_date,leader_count,follower_count,pearson_ic,spearman_ic,base_avg_future_pct,top_quintile_avg_future_pct,top_minus_base_pct,avg_lag_gap_pct,event_count,event_avg_after_cost_pct,event_median_after_cost_pct,event_hit_rate,event_threshold_leader_pct,event_threshold_gap_pct,round_trip_cost_pct
optical_800g_cpo,光通訊/800G/CPO,10,40,4548,2008-01-15,2026-03-24,8,6,0.075684,0.071056,7.966128,13.430189,5.464061,-0.562637,312,15.787105,4.457552,0.612179,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,5,40,4553,2008-01-08,2026-03-24,8,6,0.051710,0.065274,7.959478,10.591928,2.632450,-0.288649,163,15.661278,5.723345,0.595092,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,40,40,4518,2008-03-06,2026-03-24,8,6,0.086136,0.050282,7.982121,11.720604,3.738483,-1.185662,721,13.015118,2.489820,0.561720,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,10,20,4569,2008-01-15,2026-04-23,8,6,0.084509,0.106271,4.161420,9.112032,4.950612,-0.581176,315,12.956466,4.318840,0.707937,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,10,10,4579,2008-01-15,2026-05-08,8,6,0.110491,0.149004,2.197502,7.607881,5.410379,-0.579079,317,12.405654,2.486206,0.675079,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,5,20,4574,2008-01-08,2026-04-23,8,6,0.066247,0.098138,4.161945,7.194898,3.032953,-0.305361,164,10.509104,3.847506,0.689024,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,5,10,4584,2008-01-08,2026-05-08,8,6,0.076229,0.129604,2.194641,5.338936,3.144295,-0.301910,166,10.403623,1.939295,0.626506,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,40,20,4539,2008-03-06,2026-04-23,8,6,0.061167,0.037337,4.169512,5.977758,1.808246,-1.190121,725,9.185999,2.188581,0.612414,5.000000,5.000000,0.300000
banks_rates_insurance,金融/銀行/保險/利率,5,40,5006,2006-05-29,2026-03-24,8,6,0.016635,-0.009806,1.860170,2.357503,0.497334,0.021531,39,8.496093,5.481533,0.717949,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,5,40,4978,2006-05-29,2026-03-24,4,7,0.043342,0.063512,3.597219,4.681803,1.084584,-0.057415,88,8.043523,6.006254,0.727273,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,20,40,4537,2008-01-29,2026-03-24,8,6,0.073119,0.048292,7.956100,11.722692,3.766592,-0.774002,510,7.759064,2.062238,0.556863,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,5,40,4977,2006-05-29,2026-03-24,6,8,0.088497,0.078637,4.077960,5.962866,1.884906,0.282648,251,7.563507,7.499214,0.737052,5.000000,5.000000,0.300000
healthcare_glp1_cdmo,醫藥/GLP-1/CDMO,5,40,5045,2006-05-29,2026-03-24,6,9,0.010184,0.020808,4.845863,6.016216,1.170353,-0.189510,17,7.269078,10.282196,0.705882,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,5,40,5135,2006-05-29,2026-03-26,4,10,0.096368,0.102071,4.618687,8.180285,3.561598,0.041732,152,7.152218,2.079028,0.625000,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,5,40,4982,2006-05-29,2026-03-24,4,9,0.072819,0.063555,3.913925,6.794362,2.880437,0.127367,156,7.024185,6.940101,0.647436,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,20,40,4967,2006-06-19,2026-03-24,4,9,0.164226,0.087342,3.924006,8.459215,4.535208,0.566065,502,6.975102,3.585148,0.623506,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,40,10,4549,2008-03-06,2026-05-08,8,6,0.049839,0.058125,2.203325,3.037724,0.834398,-1.208719,726,6.956828,1.740773,0.617080,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,20,20,4558,2008-01-29,2026-04-23,8,6,0.060151,0.051314,4.150413,7.198524,3.048111,-0.797914,513,6.553641,1.985262,0.608187,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,10,40,4977,2006-06-05,2026-03-24,4,9,0.108495,0.072735,3.922934,7.503449,3.580515,0.250292,268,6.538485,4.238710,0.623134,5.000000,5.000000,0.300000
ai_server_power_thermal,AI伺服器/電源/散熱,40,40,4942,2006-07-18,2026-03-24,6,8,0.129035,0.094388,4.051040,7.257003,3.205963,2.336522,910,6.534707,5.570781,0.700000,5.000000,5.000000,0.300000
passive_components,被動元件/MLCC/電阻電容,40,40,4943,2006-07-18,2026-03-24,4,7,0.118558,0.130252,3.552930,6.610098,3.057169,-0.452304,509,6.369567,5.442749,0.711198,5.000000,5.000000,0.300000
