episode_id,episode_date,context_target_date,symbol,market_date,close,ret_1d_pct,ret_5d_pct,ret_20d_pct,ret_60d_pct,drawdown_60d_pct
yutinghao-2026-01-02,2026-01-02,2026-01-01,^TWII,2025-12-31,28963.5996,0.89,2.31,5.08,9.8,0.0
yutinghao-2026-01-02,2026-01-02,2026-01-01,2330.TW,2025-12-31,1544.9594,1.97,4.03,8.75,13.93,0.0
yutinghao-2026-01-02,2026-01-02,2026-01-01,SPY,2025-12-31,680.0627,-0.74,-0.88,0.35,1.84,-1.23
yutinghao-2026-01-02,2026-01-02,2026-01-01,QQQ,2025-12-31,613.5364,-0.83,-1.25,-1.11,1.22,-3.25
yutinghao-2026-01-02,2026-01-02,2026-01-01,SOXX,2025-12-31,300.9646,-1.24,-1.25,-0.41,4.59,-4.66
yutinghao-2026-01-02,2026-01-02,2026-01-01,DIA,2025-12-31,478.5629,-0.62,-0.76,1.34,3.33,-1.33
yutinghao-2026-01-02,2026-01-02,2026-01-01,IWM,2025-12-31,245.7229,-0.75,-2.35,0.74,0.07,-4.19
yutinghao-2026-01-02,2026-01-02,2026-01-01,NVDA,2025-12-31,186.4899,-0.55,-1.43,2.78,0.52,-9.92
yutinghao-2026-01-02,2026-01-02,2026-01-01,TSM,2025-12-31,303.0361,1.44,2.34,4.32,0.76,-1.75
yutinghao-2026-01-02,2026-01-02,2026-01-01,^VIX,2025-12-31,14.95,4.33,6.79,-9.89,-8.67,-43.41
yutinghao-2026-01-02,2026-01-02,2026-01-01,^TNX,2025-12-31,4.163,0.8,-0.14,1.88,0.02,-0.74
yutinghao-2026-01-02,2026-01-02,2026-01-01,^IRX,2025-12-31,3.547,0.2,0.0,-3.4,-8.11,-8.06
yutinghao-2026-01-02,2026-01-02,2026-01-01,DX-Y.NYB,2025-12-31,98.28,0.04,0.35,-1.09,0.17,-1.95
yutinghao-2026-01-02,2026-01-02,2026-01-01,TWD=X,2025-12-31,31.2436,-0.24,-0.92,-0.49,2.4,-1.23
yutinghao-2026-01-02,2026-01-02,2026-01-01,JPY=X,2025-12-31,156.413,0.26,-0.3,0.55,4.05,-0.8
yutinghao-2026-01-02,2026-01-02,2026-01-01,CL=F,2025-12-31,57.42,-0.91,-1.64,-2.08,-6.92,-8.2
yutinghao-2026-01-02,2026-01-02,2026-01-01,BZ=F,2025-12-31,60.85,-1.73,-2.45,-2.56,-7.06,-8.15
